# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    1594              0              0           -nan           -nan
    6380    1595              0              0           -nan           -nan
    6380    1596              0              0           -nan           -nan
    6380    1597              0              0           -nan           -nan
    6380    1598              0              0           -nan           -nan
    6380    1599              0              0           -nan           -nan
    6380    1600              0              0           -nan           -nan
    6380    1601              0              0           -nan           -nan
    6380    1602              0              0           -nan           -nan
    6380    1603              0              0           -nan           -nan
    6380    1604              0              0           -nan           -nan
    6380    1605              0              0           -nan           -nan
    6380    1606              0              0           -nan           -nan
    6380    1607              0              0           -nan           -nan
    6380    1608              0              0           -nan           -nan
    6380    1609              0              0           -nan           -nan
    6380    1610              0              0           -nan           -nan
    6380    1611              0              0           -nan           -nan
    6380    1612              0              0           -nan           -nan
    6380    1613              0              0           -nan           -nan
    6380    1614              0              0           -nan           -nan
    6380    1615              0              0           -nan           -nan
    6380    1616              0              0           -nan           -nan
    6380    1617              0              0           -nan           -nan
    6380    1618              0              0           -nan           -nan
    6380    1619              0              0           -nan           -nan
    6380    1620              0              0           -nan           -nan
    6380    1621              0              0           -nan           -nan
    6380    1622              0              0           -nan           -nan
    6380    1623              0              0           -nan           -nan
    6380    1624              0              0           -nan           -nan
    6380    1625              0              0           -nan           -nan
    6380    1626              0              0           -nan           -nan
    6380    1627              0              0           -nan           -nan
    6380    1628              0              0           -nan           -nan
    6380    1629              0              0           -nan           -nan
    6380    1630              0              0           -nan           -nan
    6380    1631              0              0           -nan           -nan
    6380    1632              0              0           -nan           -nan
    6380    1633              0              0           -nan           -nan
    6380    1634              0              0           -nan           -nan
    6380    1635              0              0           -nan           -nan
    6380    1636              0              0           -nan           -nan
    6380    1637              0              0           -nan           -nan
    6380    1638              0              0           -nan           -nan
    6380    1639              0              0           -nan           -nan
    6380    1640              0              0           -nan           -nan
    6380    1641              0              0           -nan           -nan
    6380    1642              0              0           -nan           -nan
    6380    1643              0              0           -nan           -nan
    6380    1644              0              0           -nan           -nan
    6380    1645              0              0           -nan           -nan
    6380    1646              0              0           -nan           -nan
    6380    1647              0              0           -nan           -nan
    6380    1648              0              0           -nan           -nan
    6380    1649              0              0           -nan           -nan
    6380    1650              0              0           -nan           -nan
